volts,amps
0.277,0.880e-6
0.285,1.003e-6
0.290,1.116e-6
0.292,1.138e-6
0.302,1.428e-6
0.309,1.660e-6
0.317,1.993e-6
0.327,2.47e-6
0.339,3.29e-6
0.355,4.94e-6
0.371,7.41e-6
0.388,11.45e-6
0.404,17.38e-6
0.434,37.8e-6
0.453,60.6e-6
0.468,87.6e-6
0.491,147.1e-6
0.506,207.6e-6
0.516,0.260e-3
0.531,0.350e-3
0.544,0.459e-3
0.557,0.600e-3
0.573,0.834e-3
0.589,1.15e-3
0.604,1.54e-3
0.622,2.25e-3
0.635,2.91e-3
0.645,3.65e-3
0.656,4.53e-3
0.668,5.82e-3
0.678,7.25e-3
0.689,9.15e-3
0.700,11.56e-3
0.710,14.93e-3
0.722,19.63e-3
0.733,24.75e-3
