volts,amps
0.0963,0.681e-6
0.0985,0.758e-6
0.1010,0.835e-6
0.1028,0.912e-6
0.1060,1.040e-6
0.1097,1.209e-6
0.1136,1.423e-6
0.1184,1.732e-6
0.1252,2.28e-6
0.1331,3.12e-6
0.1447,4.96e-6
0.1531,6.89e-6
0.1663,11.56e-6
0.1795,19.15e-6
0.1985,44.0e-6
0.210,68.6e-6
0.223,115.2e-6
0.234,173.4e-6
0.247,293e-6
0.253,375e-6
0.260,493e-6
0.268,642e-6
0.277,901e-6
0.286,1.218e-3
0.297,1.688e-3
0.305,2.16e-3
0.314,2.75e-3
0.324,3.57e-3
0.333,4.47e-3
0.340,5.28e-3
0.358,7.62e-3
0.371,9.68e-3
0.396,13.79e-3
0.418,17.84e-3
0.444,22.9e-3
