volts,amps
0.2690,8.236e-7
0.2871,0.000001227
0.3052,0.000001769
0.3233,0.000002577
0.3414,0.000003751
0.3595,0.000005478
0.3776,0.000008092
0.3957,0.00001188
0.4138,0.00001872
0.4319,0.00002905
0.4500,0.00004425
0.4681,0.00006499
0.4862,0.00009753
0.5043,0.0001370
0.5224,0.0002182
0.5406,0.0003433
0.5587,0.0004967
0.5768,0.0007100
0.5949,0.0009946
0.6130,0.001359
0.6311,0.001918
0.6492,0.002690
0.6673,0.003700
0.6854,0.004967
0.7035,0.006656
0.7216,0.008745
0.7397,0.01145
0.7578,0.01471
0.7759,0.01860
0.7940,0.02290
