volts,amps
0.819,0.739e-6
0.833,0.808e-6
0.852,0.894e-6
0.870,1.002e-6
0.891,1.139e-6
0.912,1.324e-6
0.939,1.583e-6
0.970,1.958e-6
1.012,2.60e-6
1.070,3.85e-6
1.125,5.68e-6
1.180,8.54e-6
1.232,12.55e-6
1.288,19.00e-6
1.363,36.3e-6
1.409,51.0e-6
1.457,73.5e-6
1.528,122.8e-6
1.577,173.3e-6
1.650,291e-6
1.690,383e-6
1.729,497e-6
1.779,692e-6
1.826,950e-6
1.871,1.274e-3
1.930,1.851e-3
1.971,2.40e-3
2.000,3.03e-3
2.04,3.74e-3
2.08,4.81e-3
2.12,5.95e-3
2.16,7.41e-3
2.20,9.23e-3
2.26,11.96e-3
2.31,15.69e-3
2.36,19.87e-3
2.38,21.4e-3
