volts,amps
0.03520,8.173e-7
0.04530,0.000001339
0.05539,0.000002119
0.06549,0.000003282
0.07559,0.000004938
0.08568,0.000007392
0.09578,0.00001089
0.1059,0.00001677
0.1160,0.00002633
0.1261,0.00003828
0.1362,0.00005549
0.1463,0.00008296
0.1564,0.0001190
0.1665,0.0001712
0.1766,0.0002619
0.1866,0.0003754
0.1967,0.0005458
0.2068,0.0008067
0.2169,0.001167
0.2270,0.001674
0.2371,0.002336
0.2472,0.003258
0.2573,0.004612
0.2674,0.006291
0.2775,0.008011
0.2876,0.01079
0.2977,0.01388
0.3078,0.01737
0.3179,0.02130
0.3280,0.02590
