volts,amps
0.436,0.818e-6
0.441,0.898e-6
0.446,0.997e-6
0.451,1.120e-6
0.456,1.276e-6
0.462,1.487e-6
0.468,1.76e-6
0.475,2.14e-6
0.484,2.84e-6
0.487,3.08e-6
0.499,4.69e-6
0.512,7.21e-6
0.524,11.56e-6
0.537,18.72e-6
0.553,33.9e-6
0.566,54.3e-6
0.575,74.4e-6
0.588,127.7e-6
0.598,187.4e-6
0.604,244e-6
0.612,329e-6
0.619,430e-6
0.626,561e-6
0.635,784e-6
0.643,1.098e-3
0.651,1.48e-3
0.662,2.14e-3
0.669,2.89e-3
0.676,3.68e-3
0.681,4.60e-3
0.689,6.12e-3
0.696,7.74e-3
0.705,9.84e-3
0.713,12.56e-3
0.724,16.65e-3
0.735,22.5e-3
0.750,27.0e-3
