volts,amps
0.428,0.817e-6
0.432,0.897e-6
0.437,0.995e-6
0.442,1.118e-6
0.447,1.274e-6
0.453,1.482e-6
0.459,1.782e-6
0.460,1.83e-6
0.468,2.29e-6
0.478,3.08e-6
0.490,4.68e-6
0.502,7.19e-6
0.516,11.54e-6
0.529,18.65e-6
0.546,33.7e-6
0.560,53.8e-6
0.570,77.4e-6
0.585,128.8e-6
0.594,180.6e-6
0.601,224e-6
0.609,301e-6
0.617,389e-6
0.624,497e-6
0.633,669e-6
0.642,879e-6
0.649,1.123e-3
0.659,1.49e-3
0.665,1.79e-3
0.670,2.07e-3
0.674,2.35e-3
0.679,2.69e-3
0.681,2.97e-3
0.684,3.26e-3
0.688,3.55e-3
0.691,3.84e-3
0.694,4.12e-3
0.696,4.30e-3


