volts,amps
0.453,0.815e-6
0.458,0.895e-6
0.463,0.992e-6
0.468,1.115e-6
0.473,1.270e-6
0.479,1.482e-6
0.485,1.777e-6
0.493,2.20e-6
0.504,3.07e-6
0.517,4.67e-6
0.530,7.17e-6
0.545,11.47e-6
0.560,18.5e-6
0.580,33.5e-6
0.596,53.5e-6
0.609,77.0e-6
0.628,128.1e-6
0.649,228e-6
0.659,301e-6
0.669,390e-6
0.678,498e-6
0.689,670e-6
0.699,878e-6
0.707,1.11e-3
0.718,1.48e-3
0.724,1.78e-3
0.729,2.05e-3
0.733,2.33e-3
0.738,2.67e-3
0.741,2.93e-3
0.744,3.26e-3
0.747,3.54e-3
0.749,3.86e-3
0.752,4.14e-3
0.752,4.33e-3
