volts,amps
0.460,0.787e-6
0.465,0.862e-6
0.470,0.954e-6
0.475,1.070e-6
0.480,1.213e-6
0.487,1.409e-6
0.493,1.685e-6
0.504,2.28e-6
0.514,3.07e-6
0.527,4.66e-6
0.540,7.16e-6
0.554,11.48e-6
0.569,18.5e-6
0.588,33.5e-6
0.603,53.4e-6
0.616,76.9e-6
0.633,126.0e-6
0.645,179.1e-6
0.653,222e-6
0.664,301e-6
0.674,389e-6
0.682,496e-6
0.693,665e-6
0.703,875e-6
0.712,1.117e-3
0.722,1.48e-3
0.729,1.77e-3
0.734,2.04e-3
0.739,2.30e-3
0.744,2.66e-3
0.748,2.93e-3
0.752,3.26e-3
0.756,3.56e-3
0.758,3.90e-3
0.761,4.11e-3
0.762,4.31e-3
