volts,amps
0.906,8.8e-7
0.974,9.6e-7
1.058,0.00000106
1.147,0.000001182
1.225,0.00000134
1.288,0.000001552
1.339,0.000001853
1.383,0.00000229
1.428,0.00000305
1.478,0.00000453
1.519,0.00000678
1.56,0.00001041
1.569,0.00001171
1.611,0.00001886
1.659,0.000034
1.696,0.0000534
1.727,0.0000786
1.768,0.0001359
1.77,143e-6
1.80,236e-6
1.82,319e-6
1.84,418e-6
1.86,542e-6
1.89,753e-6
1.91,1.02e-3
1.93,1.38e-3
1.95,1.98e-3
1.97,2.59e-3
1.99,3.25e-3
2.00,3.97e-3
2.02,5.09e-3
2.03,6.32e-3
2.04,7.89e-3
2.05,8.93e-3
2.06,11.01e-3
2.08,14.65e-3
2.11,21.08e-3
