volts,amps
0.525,0.812e-6
0.531,0.890e-6
0.538,0.986e-6
0.545,1.10e-6
0.552,1.26e-6
0.559,1.47e-6
0.567,1.76e-6
0.576,2.19e-6
0.587,2.93e-6
0.588,3.05e-6
0.603,4.64e-6
0.617,7.14e-6
0.631,11.4e-6
0.645,18.5e-6
0.663,33.6e-6
0.677,53.8e-6
0.687,77.9e-6
0.701,130.5e-6
0.711,185.7e-6
0.726,317e-6
0.733,418e-6
0.741,545e-6
0.750,760e-6
0.759,1.048e-3
0.767,1.418e-3
0.777,2.06e-3
0.785,2.68e-3
0.792,3.38e-3
0.797,4.20e-3
0.805,5.44e-3
0.811,6.72e-3
0.818,8.63e-3
0.827,11.05e-3
0.835,14.06e-3
0.845,19.0e-3
0.853,24.0e-3
