volts,amps
0.262,0.836e-6
0.265,0.916e-6
0.270,1.015e-6
0.275,1.141e-6
0.280,1.299e-6
0.285,1.516e-6
0.292,1.818e-6
0.299,2.26e-6
0.309,3.01e-6
0.322,4.52e-6
0.335,6.79e-6
0.347,10.43e-6
0.360,15.99e-6
0.383,34.6e-6
0.397,55.2e-6
0.406,77.1e-6
0.422,134.5e-6
0.432,191.8e-6
0.439,241.0e-6
0.447,323.2e-6
0.455,426.5e-6
0.463,558.1e-6
0.473,777.1e-6
0.483,1.07e-3
0.492,1.45e-3
0.504,2.09e-3
0.513,2.77e-3
0.521,3.51e-3
0.528,4.36e-3
0.537,5.64e-3
0.545,7.07e-3
0.554,8.97e-3
0.563,11.44e-3
0.574,15.06e-3
0.579,17.01e-3
0.594,24.81e-3
