volts,amps
0.2780,9.561e-7
0.2949,0.000001325
0.3117,0.000001927
0.3286,0.000002979
0.3454,0.000004649
0.3623,0.000007426
0.3792,0.00001175
0.3960,0.00001912
0.4129,0.00003091
0.4298,0.00004878
0.4466,0.00007736
0.4635,0.0001192
0.4803,0.0001797
0.4972,0.0002619
0.5141,0.0003745
0.5309,0.0005283
0.5478,0.0007369
0.5647,0.001011
0.5815,0.001355
0.5984,0.001828
0.6152,0.002382
0.6321,0.003130
0.6490,0.004042
0.6658,0.005212
0.6827,0.006642
0.6996,0.008478
0.7164,0.01084
0.7333,0.01363
0.7501,0.01724
0.7670,0.02173
