volts,amps
0.90,0.882e-6
0.98,0.963e-6
1.08,1.057e-6
1.20,1.174e-6
1.34,1.320e-6
1.54,1.512e-6
1.79,1.764e-6
2.13,2.10e-6
2.31,2.76e-6
2.36,4.12e-6
2.36,4.34e-6
2.39,6.65e-6
2.41,10.65e-6
2.43,17.3e-6
2.45,31.4e-6
2.46,50.2e-6
2.48,72.4e-6
2.48,78.6e-6
2.50,140.9e-6
2.52,211.7e-6
2.53,286.7e-6
2.54,378.3e-6
2.55,490.9e-6
2.57,683.7e-6
2.59,945.7e-6
2.61,1.27e-3
2.63,1.84e-3
2.66,2.39e-3
2.68,3.01e-3
2.70,3.70e-3
2.73,4.75e-3
2.77,5.84e-3
2.80,7.37e-3
2.84,9.18e-3
2.90,11.80e-3
2.97,15.57e-3
3.03,19.24e-3
