volts,amps
0.990,0.96e-6
1.089,1.06e-6
1.210,1.18e-6
1.341,1.32e-6
1.456,1.52e-6
1.522,1.81e-6
1.563,2.24e-6
1.599,3.00e-6
1.634,4.48e-6
1.638,4.73e-6
1.667,7.26e-6
1.696,11.6e-6
1.722,18.7e-6
1.751,34.2e-6
1.774,54.5e-6
1.790,79.0e-6
1.813,132.5e-6 
1.819,153.6e-6
1.836,234.6e-6
1.847,315.0e-6
1.857,415.9e-6
1.868,539.7e-6
1.880,750.0e-6
1.893,1.03e-3
1.904,1.39e-3
1.920,2.02e-3
1.931,2.62e-3
1.940,3.29e-3
1.949,4.03e-3
1.960,5.15e-3
1.973,6.44e-3
1.98,7.95e-3
1.99,10.03e-3
2.00,13.10e-3
2.015,17.37e-3
2.03,21.80e-3
