volts,amps
0.992,0.968e-6
1.087,1.063e-6
1.190,1.184e-6
1.272,1.340e-6
1.328,1.549e-6
1.335,1.578e-6
1.368,1.84e-6
1.402,2.29e-6
1.435,3.05e-6
1.473,4.56e-6
1.509,7.37e-6
1.543,11.80e-6
1.576,19.0e-6
1.615,34.4e-6
1.645,55.2e-6
1.668,80.3e-6
1.673,87.0e-6
1.707,156.0e-6
1.731,238.5e-6
1.747,319.5e-6
1.761,420.7e-6
1.775,545.2e-6
1.791,759.0e-6
1.807,1.04e-3
1.822,1.40e-3
1.841,2.04e-3
1.857,2.66e-3
1.872,3.32e-3
1.886,4.09e-3
1.903,5.33e-3
1.918,6.62e-3
1.935,8.28e-3
1.954,10.30e-3
1.96,11.5e-3
1.98,15.3e-3
2.01,21.8e-3
