volts,amps
0.89,0.87e-6
0.97,0.95e-6
1.07,1.04e-6
1.18,1.16e-6
1.32,1.31e-6
1.44,1.50e-6
1.50,1.78e-6
1.55,2.20e-6
1.58,2.94e-6
1.62,4.41e-6
1.62,4.66e-6
1.66,7.15e-6
1.69,11.4e-6
1.71,18.6e-6
1.74,33.6e-6
1.76,53.8e-6
1.78,77.9e-6 
1.78,84.6e-6
1.81,151.8e-6
1.83,230.7e-6
1.84,311.4e-6
1.85,409.3e-6
1.86,537.0e-6
1.88,746.9e-6
1.90,1.02e-3
1.91,1.38e-3
1.93,2.02e-3
1.95,2.61e-3
1.97,3.28e-3
1.98,4.03e-3
2.00,5.15e-3
2.02,6.35e-3
2.04,7.98e-3
2.07,10.06e-3
2.10,13.04e-3
2.13,17.10e-3
2.16,21.47e-3
