volts,amps
0.1355,0.853e-6
0.1383,0.937e-6
0.1414,1.040e-6
0.1449,1.169e-6
0.1487,1.332e-6
0.1533,1.554e-6
0.1585,1.863e-6
0.1648,2.31e-6
0.1727,3.09e-6
0.1847,4.90e-6
0.196,7.55e-6
0.209,12.12e-6
0.222,19.63e-6
0.238,35.6e-6
0.250,57.1e-6
0.259,82.5e-6
0.272,138.8e-6
0.282,196.7e-6
0.287,248e-6
0.294,332e-6
0.301,441e-6
0.307,575e-6
0.316,805e-6
0.324,1.110e-3
0.332,1.50e-3
0.342,2.20e-3
0.349,2.87e-3
0.355,3.62e-3
0.360,4.46e-3
0.367,5.83e-3
0.373,7.36e-3
0.380,9.27e-3
0.386,11.71e-3
0.393,15.4e-3
0.400,20.0e-3
0.405,24.4e-3
