volts,amps
0.279,0.936e-6
0.283,1.027e-6
0.288,1.140e-6
0.293,1.278e-6
0.298,1.459e-6
0.304,1.699e-6
0.311,2.03e-6
0.318,2.53e-6
0.329,3.38e-6
0.344,5.37e-6
0.358,8.26e-6
0.374,13.2e-6
0.388,21.4e-6
0.406,39.0e-6
0.420,62.3e-6
0.432,95.3e-6 
0.450,177.1e-6
0.464,270.7e-6
0.474,362.9e-6
0.483,480.4e-6
0.493,623.4e-6
0.506,867.4e-6
0.519,1.19e-3
0.532,1.61e-3
0.549,2.36e-3
0.561,3.05e-3
0.573,3.84e-3
0.584,4.72e-3
0.598,6.02e-3
0.611,7.59e-3
0.624,9.42e-3
0.638,11.92e-3
0.655,15.60e-3
0.671,20.18e-3
0.687,25.42e-3
