volts,amps
0.0125,0.849e-6
0.0135,0.933e-6
0.0146,1.035e-6
0.0160,1.163e-6
0.0176,1.325e-6
0.0194,1.551e-6
0.0222,1.85e-6
0.0258,2.31e-6
0.0260,2.39e-6
0.0313,3.22e-6
0.0395,4.90e-6
0.0486,7.54e-6
0.0595,12.1e-6
0.0711,19.6e-6
0.0859,35.5e-6
0.0979,57.0e-6
0.1075,82.5e-6
0.1209,138.7e-6
0.1360,249e-6
0.1438,334e-6
0.1511,441e-6
0.1581,576e-6
0.1669,805e-6
0.1753,1.111e-3
0.1833,1.504e-3
0.194,2.20e-3
0.201,2.86e-3
0.207,3.59e-3
0.212,4.49e-3
0.219,5.81e-3
0.225,7.33e-3
0.231,9.29e-3
0.238,11.95e-3
0.245,15.8e-3
0.253,20.6e-3
0.259,26.4e-3
