volts,amps
0.269,0.814e-6
0.273,0.894e-6
0.276,0.992e-6
0.280,1.115e-6
0.284,1.270e-6
0.289,1.47e-6
0.295,1.77e-6
0.302,2.20e-6
0.311,2.95e-6
0.323,4.42e-6
0.323,4.67e-6
0.335,7.18e-6
0.348,11.52e-6
0.361,18.65e-6
0.378,33.8e-6
0.391,54.3e-6
0.400,78.5e-6 
0.403,85.8e-6
0.419,154.5e-6
0.430,236.1e-6
0.438,317.1e-6
0.446,418.3e-6
0.453,546.1e-6
0.462,762.0e-6
0.471,1.05e-3
0.479,1.42e-3
0.489,2.08e-3
0.497,2.72e-3
0.504,3.43e-3
0.511,4.28e-3
0.519,5.53e-3
0.528,6.95e-3
0.536,8.79e-3
0.545,11.20e-3
0.555,14.90e-3
0.568,20.21e-3
0.576,25.27e-3
