volts,amps
0.404,0.69e-6
0.408,0.779e-6
0.413,0.855e-6
0.418,0.971e-6
0.424,1.106e-6
0.431,1.289e-6
0.438,1.546e-6
0.447,1.921e-6
0.459,2.57e-6
0.475,3.85e-6
0.491,5.77e-6
0.508,8.87e-6
0.524,13.59e-6
0.552,31.1e-6
0.570,49.1e-6
0.576,62.1e-6
0.603,114.5e-6
0.619,166.8e-6
0.640,327e-6
0.650,421e-6
0.661,535e-6
0.675,730e-6
0.689,1.008e-3
0.702,1.344e-3
0.715,1.832e-3
0.726,2.44e-3
0.733,2.92e-3
0.745,3.81e-3
0.758,5.14e-3
0.764,6.30e-3
0.774,8.00e-3
0.787,10.94e-3
0.799,14.23e-3
0.812,19.45e-3
0.820,23.0e-3
