volts,amps
0.451,0.678e-6
0.456,0.745e-6
0.460,0.822e-6
0.464,0.919e-6
0.468,1.037e-6
0.474,1.204e-6
0.479,1.439e-6
0.486,1.768e-6
0.495,2.34e-6
0.506,3.37e-6
0.517,4.94e-6
0.529,7.44e-6
0.545,13.11e-6
0.565,30.6e-6
0.579,48.6e-6
0.589,69.9e-6
0.604,119.1e-6
0.612,166.1e-6
0.628,326e-6
0.636,431e-6
0.643,550e-6
0.653,777e-6
0.662,1.063e-3
0.671,1.419e-3
0.681,2.03e-3
0.689,2.66e-3
0.697,3.43e-3
0.704,4.25e-3
0.712,5.33e-3
0.722,6.98e-3
0.731,9.06e-3
0.739,11.08e-3
0.751,15.34e-3
0.761,19.71e-3
0.774,26.3e-3
